Package                   Version
------------------------- ---------------
aiofiles                  24.1.0
annotated-types           0.7.0
anthropic                 0.57.1
anyio                     4.9.0
argcomplete               3.6.2
asyncclick                8.1.8.0
attrs                     25.3.0
boto3                     1.39.4
botocore                  1.39.4
build                     1.2.2.post1
CacheControl              0.14.3
cachetools                5.5.2
certifi                   2025.7.9
cffi                      1.17.1
charset-normalizer        3.4.2
cleo                      2.1.0
click                     8.2.1
cohere                    5.16.1
colorama                  0.4.6
crashtest                 0.4.1
cryptography              45.0.5
distlib                   0.3.9
distro                    1.9.0
dulwich                   0.22.8
eval_type_backport        0.2.2
fastavro                  1.11.1
fastjsonschema            2.21.1
filelock                  3.18.0
findpython                0.6.3
fsspec                    2025.5.1
google-auth               2.40.3
google-genai              1.25.0
griffe                    1.7.3
groq                      0.30.0
h11                       0.16.0
hf-xet                    1.1.5
httpcore                  1.0.9
httpx                     0.28.1
httpx-sse                 0.4.0
huggingface-hub           0.33.4
idna                      3.10
importlib_metadata        8.7.0
iniconfig                 2.1.0
installer                 0.7.0
jaraco.classes            3.4.0
jaraco.context            6.0.1
jaraco.functools          4.2.1
jeepney                   0.9.0
jiter                     0.10.0
jmespath                  1.0.1
jsonschema                4.24.0
jsonschema-specifications 2025.4.1
keyring                   25.6.0
linkify-it-py             2.0.3
logfire-api               3.24.0
markdown-it-py            3.0.0
mcp                       1.11.0
mdit-py-plugins           0.4.2
mdurl                     0.1.2
mistralai                 1.9.2
more-itertools            10.7.0
msgpack                   1.1.1
openai                    1.95.1
opentelemetry-api         1.35.0
packaging                 25.0
pbs-installer             2025.7.12
pip                       24.0
pkginfo                   1.12.1.2
platformdirs              4.3.8
pluggy                    1.6.0
poetry                    2.1.3
poetry-core               2.1.3
prompt_toolkit            3.0.51
pyasn1                    0.6.1
pyasn1_modules            0.4.2
pycparser                 2.22
pydantic                  2.11.7
pydantic-ai               0.4.2
pydantic-ai-slim          0.4.2
pydantic_core             2.33.2
pydantic-evals            0.4.2
pydantic-graph            0.4.2
pydantic-settings         2.10.1
Pygments                  2.19.2
pyproject_hooks           1.2.0
pytest                    8.4.1
pytest-asyncio            1.1.0
python-dateutil           2.9.0.post0
python-dotenv             1.1.1
python-multipart          0.0.20
PyYAML                    6.0.2
RapidFuzz                 3.13.0
referencing               0.36.2
requests                  2.32.4
requests-toolbelt         1.0.0
rich                      14.0.0
rpds-py                   0.26.0
rsa                       4.9.1
s3transfer                0.13.0
SecretStorage             3.3.3
shellingham               1.5.4
six                       1.17.0
sniffio                   1.3.1
sse-starlette             2.4.1
starlette                 0.47.1
tenacity                  8.5.0
textual                   4.0.0
tokenizers                0.21.2
tomlkit                   0.13.3
tqdm                      4.67.1
trove-classifiers         2025.5.9.12
types-requests            2.32.4.20250611
typing_extensions         4.14.1
typing-inspection         0.4.1
uc-micro-py               1.0.3
urllib3                   2.5.0
uvicorn                   0.35.0
virtualenv                20.31.2
wcwidth                   0.2.13
websockets                15.0.1
zipp                      3.23.0
zstandard                 0.23.0
